id,first_name,last_name,full_name,country,ranking,movement,ranking_points
806064,Berfu,Cengiz,Berfu Cengiz,Türkiye,208,+7,342
117480,Angelique,Kerber,Angelique Kerber,Germany,208,-3,344
1964214,Han,Shi,Han Shi,China,209,+36,340
2247480,Celine,Naef,Celine Naef,Switzerland,210,+12,338
1245570,Nuria,Brancaccio,Nuria Brancaccio,Italy,211,,338
325038,Marie,Benoit,Marie Benoit,Belgium,212,+6,338
620262,Raluca,Serban,Raluca Serban,Cyprus,213,+13,336
1787730,Linda,Klimovicova,Linda Klimovicova,Poland,214,-25,335
1171104,Lulu,Sun,Lulu Sun,Switzerland,214,+3,356
592410,Escorihuela,Burillo,Escorihuela Burillo,Spain,215,+20,334
117654,Shuai,Zhang,Shuai Zhang,China,216,+7,328
1968888,Anastasiya,Soboleva,Anastasiya Soboleva,Ukraine,217,+4,328
1489650,Margaux,Rouvroy,Margaux Rouvroy,France,218,+7,327
1425480,Cirez,Martinez,Cirez Martinez,Spain,219,+23,327
1189194,Emiliana,Arango,Emiliana Arango,Colombia,220,+14,326
2303976,Hanne,Vandewinkel,Hanne Vandewinkel,Belgium,221,-1,326
708324,Ipek,Oz,Ipek Oz,Türkiye,222,+9,325
1245936,Alice,Tubello,Alice Tubello,France,223,+5,324
1086384,Leonie,Kung,Leonie Kung,Switzerland,224,+24,321
1476966,Sinja,Kraus,Sinja Kraus,Austria,225,-41,320
2029176,Jovana,Jovic,Jovana Jovic,Serbia,225,-5,263
1135878,Destanee,Aiava,Destanee Aiava,Australia,226,-44,317
1172016,Katarina,Zavatska,Katarina Zavatska,Ukraine,227,+6,315
784152,Kyoka,Okamura,Kyoka Okamura,Japan,228,+9,315
1328184,Carole,Monnet,Carole Monnet,France,229,+3,313
1291986,Manon,Leonard,Manon Leonard,France,230,-37,313
304134,Uytvanck,Van,Uytvanck Van,Belgium,231,-2,315
591654,Sophie,Chang,Sophie Chang,USA,231,+8,312
428916,Louisa,Chirico,Louisa Chirico,USA,232,-2,311
